,title,video_id,gpt3_vanilla_title
29,The Islands With Too Much Power,8UmsfXWzvEA,"Orkney: Too Much Wind Power"
30,"I helped cover a 5,000-year-old monument with worn-out tires",hUyvk_hdMNs,The Ness of Brodgar: One of the Most Important Archeological Sites in Western Europe
31,How one little boat (and me) held up miles of London traffic at Tower Bridge,iitXhgif_lo,Tower Bridge: A Lifelong Commitment
32,The diving gondola: a strange elevator to the ocean floor,kZ1CZh85Ugs,A strange tourist attraction: the Tauchgondel
33,I tried to film a volcano and it was a complete disaster,fzfpExS_wic,"A New Volcano in Iceland: The Story That Fizzled"
34,"An Unedited, Rain-Soaked Ride on Claughton's Aerial Ropeway",7JTWc6jWZ9Q,The Ambiance of a Train Ride
35,"The UK's last aerial ropeway uses no power, moves 300 tonnes a day, and will be gone by 2036.",6RiYXI1Tfu4,The Last Aerial Ropeway in Britain
36,How many robots does it take to run a grocery store?,ssZ_8cqfBlE,"The Robots of the Hive"
37,The Shocking New Use for Red Telephone Boxes,ecVHYg4_vZw,"The Disused Phone Boxes of Britain: Iconic Ruins"
38,History forgot these old fireworks. We recreated them.,J3F2odr2MsQ,"The Rock Cannon of Gwynedd"
39,Landing at the only airport that's also a public beach,g_2SlqF0kA0,This video contains burned-in subtitles.
40,The world's last turntable ferry has a really clever design,H2ZBSFiuWIo,"The turntable ferry to Skye"
41,The Accidental Rush for Anthrax Island,suAC_PDP3Sk,"The Unintended Consequences of Decontaminating Gruinard Island"
42,The Long-Forgotten History of the British Moon Spacesuit,jYgiV4Iz7I0,"The Long-Forgotten History of the British Moon Landings"
43,I promise this story about microwaves is interesting.,2tdiKTSdE9Y,"The Microwave That Invented Itself: The Incredible, Ridiculous True Story"
44,The Beach Where Lego Keeps Washing Up,3FxfXVuHRjM,"The Reality of Plastic: A Look at the Horrifying Amount of Plastic Washing Up on Our Beaches"
45,Taking The Emergency Exit From A Wind Turbine,UWSckm8zTc8,"Tom Goes Up a Wind Turbine"
46,England's Oldest Attraction Turns Teddy Bears To Stone,AJ38l6DX4f8,"Mother Shipton's Cave: England's Oldest Still-Surviving Tourist Attraction"
47,I asked an AI for video ideas for other YouTubers. It went badly.,Fw6GjAPpKuA,
48,What Color Is My Hoodie?,HeKuX063bcs,The ever-changing colors of my hoodie
49,It's like a spaceship for sharks.,LyfnoEa-P58,The Deep's life-support system: a spaceship for sharks
50,The Difference Between High Explosives and Low Explosives,OOWcTV2nEkU,"The Subtlety of High and Low Explosives"
51,Why Shakespeare Could Never Have Been French,dUnGvH8fUUc,"The Language Files: On the Road with Tom"
52,"Why No-One Will Save Covehithe, The Village That Will Soon Crumble Into The Sea",OW5MlvvqGjM,The Last Village: The Erosion of Covehithe
53,Why Real Explosions Don't Look Like Movie Explosions,nqJiWbD08Yw,"The Tricks to Making Explosions Look Good in Movies"
54,Why Progress Bars Don't Move Smoothly ▓▓▓░░░░░░,iZnLZFRylbs,Why progress bars and loading time estimates still suck in 2021
55,"I asked an AI for video ideas, and they were actually good",TfVYxnhuEdU,
56,YouTubers have to declare ads. Why doesn't anyone else?,L-x8DYTOv7w,The dark side of influencer culture: Why does no-one on TV have to declare their sponsorships?
57,Why 18th-Century Firefighters Let Some Buildings Burn,sehyLDPeB6M,"A Brief History of Firefighting"
58,"Hill Hill Hill Hill, debunked, debunked",NUyXiiIGDTo,"The Bumpy Side of England: The Reality of Torpenhow Hill"
59,The Radioactive Beach In New York,8xD1K121mbQ,"The Radioactive Beach in New York City"
60,Trying To Create an AI Tom Scott (on a $100 budget),xCn03u_Jvuo,
61,Australia's Bushfire-Hunting Satellites,99_Abbuf3cQ,"Introducing James from Atomic Frontier"
62,Trying To Fail A Drug Test On Purpose,jt8tonZm968,"Can You Really Fail a Drug Test from Eating Poppy Seeds?"
63,"How Weird Is My Audience? I Polled 15,408 People To Find Out",dcuNq3Bw9Xs,How Weird Is My Audience?
64,The Greatest Title Sequence I've Ever Seen,mUF4afxMpQk,"Alright On The Night: A Television Institution"
65,The Never-Used Road Where The BBC Crash Cars,nQOroZNr_fw,The Road to Nowhere: An Unfinished Highway in England
66,How Many Languages Are There?,qYlmFfsyLMo,"How Many Languages Are There?"
67,Walking The Most Dangerous Path In Britain,mM7C_Pw7OL8,"Broomway: The Most Dangerous Path in Britain"
68,Why The Web Is Such A Mess,OFRjZtYs3wY,The Evolution of the Web: From Tim Berners-Lee's Proposal to the Mess it is Today
69,I Almost Learned To Fly A Jetpack,IsWJKyR664s,Tom's First Jet Pack Flight
70,Five Things You Can't Do On British Television,m__OZ3ZsO4Y,"The Strange and Surprising Regulations of British Television"
71,"The Pumps That Must Run Forever, Or Part Of Germany Floods",LseK5gp66u8,"The Ruhr Valley: A Legacy of Coal Mining"
72,My Unlicensed Hovercraft Bar Is Technically Legal,ZLF7yife8YE,"The Ridiculous Law That Allows You to Sell Alcohol on a Hovercraft"
73,It’s pronounced GIF.,N1AL2EMvVy0,Lingthusiasm: The Great GIF Debate
74,The Theme Park Inside An Old Nuclear Power Plant,5te73hfCpuU,Abandoned Nuclear Power Plants Turned Into Unusual Theme Parks
75,We Built A Lie-Detector Skeleton From 1927,mU2hjhw1RCs,
76,"How Binary Search Makes Computers Much, Much Faster",KXJSjte_OAI,"How to Put a Shelf of Books in Order"
77,The Tiny Monorails That Once Carried James Bond,Irv3KJR6B80,"Why Monorails are Almost Always Bad Ideas"
78,Would You Swim In Power Plant Wastewater?,OgMXjAQ5q14,"The Blue Lagoon: A Geothermal Power Plant Wastewater Story"
79,"1,204,986 Votes Decided: What Is The Best Thing?",ALy6e7GbDRQ,"The Best Thing"
80,"Swimming Between Two Continents, Debunked",-khe6IY9bTM,"I'm swimming in Silfra: the crack between continents"
81,"Which Is &quot;Bouba&quot;, and Which Is &quot;Kiki&quot;?",1TDIAObsqcs,"Bouba and Kiki: The Famous Linguistics Experiment"
82,Is The Most Northern Part Of Iceland Still There?,hr03xF08qoU,The Disappearing Island: The Strange Story of Kolbeinsey
83,The Part Of Britain That Rises And Falls Twice A Day,lCA0II1sVZA,"The Land That Moves"
84,Why You Should Turn On Two Factor Authentication,hGRii5f_uSc,The President's Missing Biscuit: The Story of the President's Nuclear Codes
85,"For 21 Years, No-One In Britain Knew How Long An Inch Was",mmh819Lfgfs,"The Great Fire of Parliament and the Reconstruction of Britain's Measurement System"
86,The Village That The Luftwaffe Bombed By Mistake,3-naCd-DwvU,"The Linby Trail Bombing: A Local Myth"
87,"A Million Dollars vs A Billion Dollars, Visualized: A Road Trip",8YUWDrLazCg,"Driving to a Billion Dollars"
88,The Abandoned Hill With Two Members Of Parliament,-fXmaeDMsh0,"Old Sarum: England's Rotten Borough"
89,Why You Can Spot Bad Green Screen,E5HRvQNg4pQ,The Do's and Don'ts of Green Screening
90,"I Asked 64,182 People About “Jingle Bells, Batman Smells”. Here's What I Found Out.",V5u9JSnAAU4,"How the Simpsons Changed Christmas"
91,The World's First Internet Bench,nLCAvIr9rWo,"The world's first Internet Bench"
92,How England's Oldest Road Was Nearly Lost Forever,3dYc0Ouxhx0,"The Icknield Way: Britain's Oldest Road"
93,The Worst Typo I Ever Made,X6NJkWbM1xk,
94,Ə: The Most Common Vowel in English,qu4zyRqILYM,"Why English Spelling is So Hard to Learn: The Schwa Sound"
95,Why Some &quot;Remastered&quot; Music Videos Look Awful,CkysCJBdGtw,"The Evolution of Music Videos: From VHS to 4K"
96,Are There Problems That Computers Can't Solve?,eqvBaj8UYz4,The Halting Problem: Can computers really solve everything?
97,The Hidden Rules of Conversation,IJEaMtNN_dM,"Why We Communicate More Than Just the Meaning of Our Words"
98,Why This British Crossroads Was So Dangerous,SYeeTvitvFU,The most dangerous crossroads in Britain: Ipley Cross
99,Why You Can't Name A File CON In Windows,bC6tngl0PTI,"The History of the Windows Con File"
100,Abso-b████y-lutely: Expletive Infixation,dt22yWYX64w,"The Use of Bloody as a Taboo Word in British English"
101,"This Video Has 52,039,859 Views",BxV14h0kFs0,"The Changing Title of My YouTube Video and How It Ties Into the End of the Universe"
102,Why Dark Video Is A Terrible Blocky Mess,h9j89L8eQQk,The Colour Banding Crisis in Modern Video
103,YouTube's Copyright System Isn't Broken. The World's Is.,1Jwo5qc78QU,
104,Inside The Billion-Euro Nuclear Reactor That Was Never Switched On,WUVZbBBHrI4,"The Never-Used Nuclear Power Plant"
105,Why You Can't Buy Dasani Water in Britain,wD79NZroV88,The Great Marketing Disaster of Dasani Water
106,Stopping A Laser Beam In Mid-Air,tozuzV5YZ7U,"The Science of Laser Beams in Film"
107,The Country Where All Public Transit Is Free,feCQPD9DSOA,"Luxembourg: The Small Rich Country Making Public Transit Free"
108,"The Sentences Computers Can't Understand, But Humans Can",m3vIEKWrP9Q,The Winograd schema: A test to determine if machines are intelligent
109,Why The Dutch Headwind Cycling Championships Are Difficult And Amazing,VMinwf-kRlA,The Dutch headwind cycling championships
110,Why TRUE + TRUE = 2: Data Types,6otW6OXjR8c,"The Different Data Types Used in Programming Languages"
111,The Bridge That's In Two Countries At The Same Time,Mw44wHG4KOc,"The Weird Border Between Germany, Luxembourg, and France"
112,How To Grow A Martian Salad On Earth,rBPLgtfouIs,"Growing Crops in Martian Soil: The Feasibility of Farming on the Red Planet"
113,How Neurosurgeons Navigate Inside The Brain,8Gk7EvCQGoo,"The Benefits and Risks of Neurosurgery"
114,Why My Teenage Code Was Terrible: Sorting Algorithms and Big O Notation,RGuJga2Gl_k,"The Work Experience Kid's Job"
115,Why 2020 Started On December 30th,D3jxx8Yyw1c,The Year Twitter Failed: How the ISO Week System Caused a Yearly Glitch
116,Why Do We Move Our Hands When We Talk?,gGMkHzWXjI8,"The Many Functions of Gestures"
117,Why The World's Littlest Skyscraper Was A Massive Scam,xGQgmmrXONk,The World's Littlest Skyscraper: A Wichita Falls Legend
118,Why Electronic Voting Is Still A Bad Idea,LkH2r-sNjQs,Why electronic voting is still a bad idea
119,Can The Words You Read Change Your Behavior?,CVAlKJbQ_gE,The Replication Crisis: Why Your Brain Understands What You Read Faster If You Expect To
120,Is The World Running Out Of Helium?,mOy8Xjaa_o8,"The Dwindling Helium Supply"
121,Why The Elevator Shaft Was Invented Before The Elevator,TL4xc5bsSUU,"The world's first elevator shaft: a gamble that paid off or a mistake?"
122,I Almost Learned To Fly In The World's Only Wingsuit Tunnel,DpfrGZJyKmo,"Jarno Cordia and Jenna Muccioli: World Champion Wingsuit Team"
123,How The Netherlands Simulated The Sea Before Computers: The Waterloopbos,SFkoLYrJGCM,"The Delta Works: Defending the Netherlands from the Sea"
124,This Video Is Sponsored By ███ VPN,WVDQEoe6ZWY,The forgotten woman who changed the world of computer security
125,The Giant Art That Keeps Planes Quiet,7dlLmeage2U,The Incredible Power of Human Hearing
126,Why Helsinki's Library Robots Aren't Important,dPb9o3uDF_Q,"The Librarian's Job in the 21st Century"
127,The Self-Driving Race Car,39nNXdBFQhA,"Roborace: The Future of Racing"
128,"Inside The Tunnels That Will Store Nuclear Waste For 100,000 Years",aoy_WJ3mE50,"Nuclear Waste Disposal in Finland"
129,What Counts As The World's Shortest River?,WEGzvZ85dgs,Is the Roe River the shortest river in the world?
130,The Toxic Pit With A $3 Admission Fee,n-Ej2EtE744,"The Berkeley Pit: A Tourist Attraction with a Dark History"
131,The Only Bit Of Louisiana's Coast That Isn't Sinking,zFiNmEWXPPM,"Unintended Consequences: The Wax Lake Delta"
132,"The Language Sounds That Could Exist, But Don't",9uZam0ubq-Y,"How English Spelling Got So Messy"
133,I'm Not A Robot ✅,o1zNIm8GVPY,"How to beat the CAPTCHA"
134,Flying A Plane With Fireworks On The Wings,HuGHV0fbBiE,"Aerosparx"
135,The Two Generals’ Problem,IP-rGJKSZ3s,The Night of the Multiple Orders
136,Why “No Problem” Can Seem Rude: Phatic Expressions,eGnH0KAXhCw,"The Many Uses of Good Morning"
137,The Fetch-Execute Cycle: What's Your Computer Actually Doing?,Z5JC9Ve1sfI,"A Basic Understanding of What Your Computer is Actually Doing"
138,How To Stop A Colossal Bridge Corroding,dLQQ1F7hplA,"The Humber Bridge: Keeping an Eye on the Cables"
139,why typing like this is sometimes okay.,fS4X1JfX6_Q,"The Different Ways We Speak"
140,How To Build An App: Everything You Didn't Know You Needed To Know,tO8aJ-TUtJY,"How to Build an App Series by Google"
141,The Giant Underground Tunnels Protecting Tokyo From Floods,cfJOW2PtrGk,The Metropolitan Area Outer Underground Discharge Channel
142,Why You Can't Trust Me,UaGTFeibOEk,Coober Pedy: A Town in the Australian Outback
143,The World's First Solar Powered Train,6Y4QGFte3T8,"The World's First Solar Powered Train"
144,Mr Olds’ Remarkable Elevator,-fu03F-Iah8,"21st Century Screws: Big industrial inventions"
145,The One-Lane Bridge Shared By Cars And Trains,sstRJcaFU9U,Level Crossing vs Road-Rail Bridges: What's the Difference?
146,What Counts As The Steepest Street In The World?,0MqtTlzde0g,"The Steepest Street in the World: Baldwin Street in Dunedin, New Zealand"
147,Testing A Zip Line That Goes Round Corners,ef1jPbezKDM,"How do you test a new amusement park ride?"
148,The Circle Visible From Space,VRUmt_4F_58,The Dividing Line Between Wild Forest and Managed Farmland
149,The First 3D Color X-Rays,cqUYYF6KmW0,"The Evolution of X-Ray Photography"
150,The Brain-Eating Amoebas of Kerosene Creek,OQ7uq04fEjs,Kerosene Creek: A natural hot spring near Rotorua
151,The Hundred-Tonne Robots That Help Keep New Zealand Running,kQ8WI3nc1l0,"""The Ports of Auckland: Robotizing the Future"""
152,The Sculpture That Looks Like A Real-Life Cartoon,j9JD9W0n7gE,Gibbs Farm: A Private Art Collection
153,"Where Two Oceans Meet, Debunked",a4N4yQB_B4c,The Truth About Cape Reinga
154,I Drove My Childhood Favorite Racing Game In Real Life,juRkaqkDfCM,Nostalgia for Need for Speed II
155,The Artificial Gravity Lab,bJ_seXo-Enc,The Artificial Gravity Facility: How do humans deal with a very strange gravitational environment?
156,Blindfold Balancing in the Spinning Space Chair,jhQa9xLk5qk,"The Spatial Orientation Laboratory at Brandeis University"
157,The Library of Rare Colors,rApTzWboLrA,"The Science of Color"
158,The Last Play-For-Cash Fascination Parlor,bOWse-Xm6Ao,"The Last Play-for-Cash Fascination Parlor in the World"
159,The Broken Building That Must Not Be Destroyed,AtkmDmMzZO8,The Ruins of St. Peter's Seminary
160,A Questionable Experiment in Motion Sickness,kxuwPRY8kEo,"The Science of Why We Get Motion Sick"
161,Why Denmark Is .10 Seconds Behind The World,yRz-Dl60Lfc,The Problem with Denmark's Timezone
162,How Auto-Tune Works,i09V6SkVkz8,The Secrets of Auto-Tune and Pitch Correction
163,Slowing Down A Stock Exchange With 38 Miles Of Cable,d8BcCLLX4N4,"The New Stock Exchange: IEX"
164,I Got To See And Hold My Brain,Q7tX_B88MZk,"fMRI with Alie and Micah"
165,This Is Your Brain On Stale Air,1Nh_vxpycEA,Kurtis Baute: Filmmaker Seals Himself in Biodome to Show Dangers of Carbon Dioxide
166,How Knot To Hang A Painting,-eVd2Ugk9BU,
167,The Fishermen That Hold Their Breath For 10 Minutes,2F0V9MjrhXE,"These amazing creators taking over YouTuber's channel while he's on break"
168,"Why NASA Spun Astronauts Around, But Doesn't Any More",GFWsYJ0_KMI,The Multi-Axis Trainer: A Ride Through Space History
169,The Canyon That Humans Made By Accident,NQ5cf_WuJs0,Georgia's Little Grand Canyon: A Man-Made Scar in the Earth
170,Stealing Our Friend's Brain Backup PRANK (GONE WRONG!!!) 🤯🤯🤯,3L1QIJ9PQ2M,
171,The Consequences of Your Code,LZM9YdO_QKk,"Roses Are Red, Violets Are Blue, I Got Chlamydia from You"
172,Your New Social Credit Score,WByBm2SwKk8,The Social Credit Score: A New Way for the Government to Keep Track of You
173,The City of Golf Carts,pcVGqtmd2wM,What's the Golf Cart Capital of the World?
174,The Artificial Intelligence That Deleted A Century,-JlxuQ7tPgQ,The AI That Forgot the Beatles: The Story of Earworm
175,The Other Tree That Owns Itself,lyvylw5Lwx0,The Tree That Owns Itself and the Other Tree That Owns Itself
176,An American Stonehenge: The Mysterious Georgia Guidestones,YNPpB_BRZJ8,The Georgia Guidestones: A Modern Stonehenge
177,Testing The World's Longest Echo,lLUcOFwZvyY,-The Secrets of Inchindown Oil Tanks
178,Why Computers Can't Count Sometimes,RY_2gElt3SA,"Why Can't Twitter Just Count?: The Trouble with Scaling"
179,Britain's Largest Battery Is Actually A Lake,6Jx_bJgIFhI,The Largest Battery in Britain: Dinorwig Power Station
180,Why Do London's Manholes Keep Exploding?,u9FVoDiuq6Q,Why London's Pavements Keep Exploding
181,᚛ᚈᚑᚋ ᚄᚉᚑᚈᚈ᚜ and ᚛ᚑᚌᚐᚋ᚜,2yWWFLI5kFU,"Ogham Stones: An Exception to the Rule"
182,If Educational Videos Were Filmed Like Music Videos,G025oxyWv0E,A Look Into the Making of a Music Video: The Opening Shot
183,What's The Longest Word You Can Write With Seven-Segment Displays?,zp4BMR88260,
184,How The First Ever Telecoms Scam Worked,cPeVsniB7b0,"The Blanc Brothers' Scam: How Two Men Made a Fortune off of the French Telegraph System"
185,"Wingwalking Isn't What It Used To Be, And That's A Good Thing",Trqqn2xPaY0,"The Different Types of Wing-Walking."
186,We Made a Banhammer (feat. NerdCubed),nyD7FMwhwxc,"The Banhammer 2.0"
187,The Collapsible Crash Test Robot Car,cECsj2Bznig,"Global Vehicle Target: A not-for-profit insurance-funded research centre"
188,Why You Don't Want To Go Viral,9LZEZ5QuyzM,"The Dangers of the One-Hit Wonder"
189,The Quiz That Was Shared A Million Times,3tO3h9APNbM,"How Northern Are You?"
190,That Time I Got In Trouble With The Government,h0AMaW4XRCI,How to get popular on the internet: the rules I've worked by for the last 15 years
191,Your Private Messages Might Travel Under This Beach,nl2mQ2HiJZc,"Welcome to Porthcurno: The Beach That Connected Britain to the World"
192,"I Hit 3,000-Year-Old Art with a Hammer",s6kNR8Mj0ZE,- The Uffington White Horse
193,Testing The Sound Mirrors That Protected Britain,04F5osXK4vw,
194,The Nuclear Reactor Run By Students,pLBcp3nJlFQ,"The Reed Research Reactor: A Student-Run Nuclear Reactor"
195,How The 90s VHS Look Works,h6RRNNztN5o,The Return of VHS: A Look at the Popular Aesthetic
196,Stories I Can't Tell,bjl9CpAirtE,Canada's Untold Tales
197,We Should Let Some Wildfires Burn,Y27lFsPEZ30,Destruction by Gravity: The Elaho Wildfire
198,The Drink With A Human Toe In It,kHMNX3IXnvs,- The Sourtoe Cocktail: A History
199,Watching for Nuclear Attack at the Top of the World,Et3YW_qS_1o,The DEW Line: A History
200,The New Highway to the Arctic Ocean,frhMomcKT9o,From Sea to Sea to Sea: The Building of the Dempster Highway
201,"Freezing 200,000 Tons of Lethal Arsenic Dust",E4nZDSLdIiM,"Giant Mine: Arsenic trioxide storage and freezing"
202,Tilting an Icy Floor Until You Fall Over: WinterLab,q1oRaUTbk3k,"I'm in Toronto, Canada."
203,The Town That Was Burned for Science: Aultsville,DWYthXD14pw,The St. Lawrence Seaway: A Look Back
204,The US-Canada Border Splits This Road Down The Middle,EocJm3Dry4E,"The Inconvenient Road That Splits Canada and the U.S."
205,A Town Called Asbestos,CB3LJdMYzrQ,The Town Called Asbestos
206,Keeping Aircraft Safe without Radar: The North Atlantic Tracks,vBgulDeV2RU,"Nav Canada Area Control Centre in Gander, Newfoundland"
207,⚫ How The Black Point Message Crashes Android Apps,jC4NNUYIIdM,"The Black Spot: A WhatsApp Message That Crashes the App"
208,2½ Hours of Unedited Garlic Bread Flight Footage,YKAblynZYhI,Sending Garlic Bread to the Edge of Space
209,"We Sent Garlic Bread to the Edge of Space, Then Ate It",c8W-auqg024,"Space Bread: We're sending garlic bread to the edge of space!"
210,"G-Force, Jerk, and Passing Out In A Centrifuge",DMKcO-T5Y4o,How the Royal Air Force training centrifuge works
211,Making an International Standard Cup of Tea,nAsrsMPftOI,The International Standard Cup of Tea
212,The US President's Bulletproof Railcar,C2NNujJKJL4,"The Ferdinand Magellan: America's First Presidential Train Car"
213,The 1940s Mermaid Show That's Still Pulling Crowds,ZrP0Mqj9U_c,"A Day in the Life of a Mermaid"
214,How Formation Flying Works (feat. the Red Arrows!),RYGFczNMAMk,Red Arrows: The Skill of Formation Flying
215,"Why European Clocks are Running Slow, and British Clocks Aren't",bij-JjzCa7o,The Great British Teasmade: An Invention That Keeps Time (and Tea)
216,The Moiré Effect Lights That Guide Ships Home,d99_h30swtM,The Mysterious Moiré Shipping Light
217,Launching An Entire Fireworks Display At Once,dabnx8VSdkE,The Dangers of Hitting the Big Red Button: A Fireworks Display Mishap
218,The European City Centre With No Street Names,DSG-zxGRkJw,"""The Exception to the Rule: Why Most Streets in Germany Don't Have Names"""
219,Making Artificial Earthquakes with a Four-Tonne Steel Ball,vxfJbW6KDp4,The equipment we have here: A four-ton steel ball
220,"Faceswapping, Unethical Videos, and Future Shock",OCLaeBAkFAY,"The Future of Mass Blackmail: How a Fictional App Became Reality"
221,Controlling An Airport From 80 Miles Away,Ii_Gz1WbBGA,"The New Control Tower at London City Airport"
222,Canada's Most Successful King,gTF8KYoJkMM,"The stories of Canada's 10th Prime Minister: William Lyon Mackenzie King"
223,A Language Made Of Music,oyC4lLTOyL8,"12tone: A New Language"
224,Sign Language Isn't Universal,viRVFxvXSss,This Week's Guest: Rikki Poynter
225,17 Tonnes of Spinning Glass: Making the World's Largest Telescope,BP9HNVuGb-g,"Active Galactic Videos: A Channel Dedicated to Science"
226,This Video Is 2D And 3D Simultaneously: the Pulfrich Effect,Q-v4LsbFc5c,3D Video Using the Pulfrich Effect
227,The Null Hypothesis,KOJnOCdBr4s,The Null Hypothesis: When You're Proving a Theory
228,How Zero-G Planes Work,FO_Ox_dH0M8,European Space Agency's zero-g flight: A behind the scenes look
229,"Batman's Village of Fools: Gotham, England",YF6xzqOfCD8,The Origins of Gotham City
230,Why Hold Music Sounds Worse Now,w2A8q3XIhu0,The Terrible Truth About Hold Music
231,The German Town That's Literally Breaking Apart,zOgle88sKro,Staufen: A German Town Cracked by Geothermal Drilling
232,Is It Dangerous To Talk To A Camera While Driving?,_-aDHxoblr4,"Tom's Terrifying Test in the National Advanced Driving Simulator"
233,The Lava Lamps That Help Keep The Internet Secure,1cUUfMeOijg,"How Cloudflare protects the web with lava lamps"
234,The Story of Salvation Mountain,4JAjIjXbe3Y,"The Work of Leonard Knight: Salvation Mountain"
235,"What Is Sea Level, Anyway?",YQ6vWW9BEKU,"Welcome to Calipatria, a desert town near California's Salton Sea."
236,Why California's Musical Road Sounds Terrible,Ef93WmlEho0,"The Musical Road of Lancaster, California: Why Two Tries weren't Enough"
237,The Reaction Ferries of Basel: What Have We Missed?,b6utGZQ9Sks,The Magic of Reaction Ferries
238,The Centuries-Old Debt That's Still Paying Interest,cfSIC8jwbQs,The original perpetual bond: still paying interest after 3 and a half centuries
239,Rotary Jails and Accidental Amputations,-DGXHMOhXAw,The Rotary Jail: A Patented Disaster
240,How Computers Compress Text: Huffman Coding and Huffman Trees,JsTptu56GM8,"How Computers Compress Text: The Basics"
