video_id,title
_NzVmtbPOrM,"I can't show you how pink this pink is."
RA5UiLYWdbM,"Why old screens make a ʰᶦᵍʰ ᵖᶦᵗᶜʰᵉᵈ noise"
i8MFK0w0hlg,"The Runways of Fire That Let WW2 Planes Land In Fog: FIDO"
yy16KFzM4XU,"Why sci-fi alien planets all look the same"
YLlzx6v8CcA,"Voyager 1's Getting Closer to Earth Right Now"
EN6COaYLS_A,"Why This “Zero Calorie Sweetener” Isn’t Zero Calories"
KGne-ZUZCg0,"Why Song Translations Usually Suck"
NF_2Io7g9fE,"The Foil That Went To The Moon And Back"
VnvGwFegbC8,"The Disaster That Changed Engineering: The Hyatt Regency Collapse"
Ri_4dDvcZeM,"You Can Hear The Difference Between Hot and Cold Water"
l6lGe5jgZgI,"One Town, Four Elements: Ytterby"
kMLYLcniXIc,"The World Is Slowly Running Out Of Sand"
VdmQp9M9jUo,"ᚼᛒ: Harald Bluetooth and Your Phone"
cdPymLgfXSY,"The Little-Known Patterns on British Streets"
TGyHJ-xmcuc,"Fallout Shelters and Zurich's Water: Swiss Resilience"
nIkLMmh9KGc,"Why YouTube Streams Don't Count For Christmas № 1"
bUIiUXvnkUQ,"In Old Movies, Why The Dial Tone After Someone Hangs Up?"
EiZU3BvqvP4,"Wheels, Bombs, and Perpetual Motion Machines"
-so4bLE5kPc,"The City of the Dead: Colma, California"
TIxt9guMbXo,"The World's Most Famous Teapot: The Utah Teapot"
y9pknU0zv9c,"3D Printing Stainless Steel with Giant Robot Arms"
MA9Du5l7qV0,"The Spider Dress That Reacts To Personal Space Invaders"
8lQtdhtw5eI,"The Grave of the Man Who Never Was: Operation Mincemeat"
TEdsQmjLMKs,"The Bizarre Plan to Drain the Mediterranean: Atlantropa"
gGXjWqVeVJE,"The Solar Power Towers of Southern Spain"
PBZ728jH7j0,"Cold Wars, Cruise Ships, and the Northwest Passage"
xW4hI_METac,"ᑖᒻ ᔅᑳᑦ and ᖃᓂᐅᔮᖅᐸᐃᑦ"
5G9BHrAgQz0,"Internet to the Arctic: A Greenlandic Relay Station"
QnM2tVZr7Fs,"No-One Knows Who Got To The North Pole First"
PT7KPztnIXw,"The Front Falls Off: Glaciers Don't Go Backwards"
WKQT1MXfasM,"Seeing Things: Visual Disturbances We All Experience"
pt2fSq46Pcw,"Why Mountain Dew Rots Your Teeth More Than Coca-Cola"
UtQGYz4f3YQ,"The Battery That's Lasted 176 Years"
5uz6xOFWi4A,"The Problem With Renewable Energy (and how we're fixing it)"
Vcx7_1yphJI,"The Mushroom Cloud Over Britain: RAF Fauld and the Hanbury Crater"
642x2Y3Zla0,"The Fake Vinegar In British Fish and Chip Shops"
4F7WCutpsJw,"The Man Who Invented, Then Hated, Shopping Malls"
JKCBeDeVxkg,"Nobody's Exactly Sure How Much A Kilogram Is Right Now"
2NGc3-df8sA,"The Flower That Smells Like Death"
ic_FpRG7Z_k,"Why You Can't Advertise Cancer Cures In Britain"
IrtGp8hv-0Y,"Help, My Fusion Reactor's Making A Weird Noise"
1bO8zEaSuWg,"In Norway, Everyone Can Know How Much You Earn"
18_6kLLKoEc,"Why You Should Write Down Your Goals"
R9u41aeItss,"Unexploded Bombs off the British Coast: the SS Richard Montgomery"
Mm5khEUIBx0,"Power, Politics and Pragmatism: The British National Grid"
odX81LsE5RY,"What Counts as the World's Largest Clock?"
IQ3kQPWlU-o,"How To Make Snow"
8-evKtoPN-8,"Calling The Police Doesn't Charge Your Phone Battery"
Ki8BLLnWyJY,"Crosswalks Don't Always Make You Safer"
4SyetdjWMuw,"Why Britain Sucks At Product Placement"
rTwg3oWnUgc,"Automated Weapons and the Battlefield of 2050"
LrT4urHj61g,"Drones, Deserts and Danger"
yeQ-6eyMQ_o,"How The Rosetta Stone Unlocked Hieroglyphics"
5erVH-zk7Uk,"The Collapsed Dam That Stopped Los Angeles"
KUdQ7gxU6Rg,"Why I Can't Show You The H******** S***"
XvHcZciihJw,"The Bielefeld Conspiracy"
BTPToO-gfTE,"Britain's End-of-the-World Bunkers"
mh1UXi0csqc,"The Man Who Had Himself Taxidermied: Jeremy Bentham"
H-I6drGa2pk,"The Secret Underground Pipeline Across Britain"
kjQLT5CKEAU,"G-Forces, Gliders, and Graveyard Spirals"
1poq11wp1zU,"The Abandoned Village of Imber: How Far Can Emergency Powers Go?"
eYH1lPm41-0,"Hovercraft, Concorde, and the Dreams of the 1970s"
KxzOQwktMCc,"The Weirdest Bridge in Wales: The Newport Transporter Bridge"
zCfPlxTayqY,"The Giant Cranes and Robots That Keep Civilisation Running"
AGXbiSwcqtM,"The Sightlines of London"
wVBZLoNffPw,"The Toxic Blue Lagoon of Buxton"
YgJBD1wf-YQ,"Paternoster Lifts: Dangerous, Obsolete and Quite Fun (including over the top!)"
oE93J33SfHY,"The Most Complex Borders in Europe: Why Do We Have Nations?"
S9E1wsxOSzM,"The Fictional Bridges That Became Real"
jkdwK_74eEs,"How The Netherlands Stopped The Wind"
B5a6wrJpxP4,"Risk, Immortality, and the Terrifying Pulpit Rock"
LG-X23aVud0,"Ships, Mines and Magnetism"
egeMAIXYIvI,"7 Illegal Things To Do In A British Election"
GAKwRou6HUw,"The 400,000,000-Year Link Between Scotland and Canada"
t60EfnqZKrQ,"How To Make Something One Atom Thick"
QixlLU15CIc,"Turnpikes and Tolls: What if all major roads were private?"
c5Az7Rez3Rk,"How to Program a Quantum Computer (sort of)"
pj9-vL5JFqo,"The Driverless Cars of Greenwich"
msPCQgRPPjI,"How Green Screen Worked Before Computers"
09mpgUzVc5g,"How Many Colours Are In A Rainbow?"
0-ZeCXYr_Uw,"The British Rail Flying Saucer"
D22BOOGbpFM,"The Magic Roundabout: Swindon's Terrifying Traffic Circle and Emergent Behaviour"
DmvHZ4omB2A,"Why The Prime Meridian Isn't At 0º"
IHv3wSYi9PA,"Why Doesn't Britain Have Rabies?"
p7I4xpSz6-Y,"Can It Be Too Cold To Snow?"
LGwgT5jho6I,"Ley Lines and Avebury Henge, the Better Version of Stonehenge"
ML5TaNlwgeg,"The Hottest Place in Britain, and the BBC Theme Park"
VxBlyZAl5MQ,"The Concrete Pillars On Top Of British Hills: Trig Points"
OSlGJ9FNHOk,"Why Four Score and Seven Years Ago?"
NOsFLzpfRpU,"The Floating Lighthouse in New York: The Lightship Ambrose"
juZqGU9iuq0,"The Liquid Nitrogen Tanks of New York"
yWjpR365-h4,"The Diner Where You Microwaved Your Own Food"
ey6JPPGgZl8,"There's a Bit of England in New York, Literally"
RILkh2S1lvo,"What Did Witches Actually Use?"
E-m6vc7lsmE,"The Man Who Set Up His Own Toll Road, Without Permission"
HfHgUu_8KgA,"Why Britain Uses Separate Hot and Cold Taps"
wBlAQLvVGJA,"How To (Appear To) Snap Someone's Neck (On Stage)"
lbXL57-mB-I,"Scotland is Rising and England is Sinking, Literally"
x5KH4bUt8X8,"Ultrasonically Vaporized Vodka!"
b_vMclfCoFA,"The Ice Bucket Challenge Lowers Your Heart Rate"
wCQSIub_g7M,"How To Read Text In Binary"
yoMOAIzBSpY,"YouTube Doesn't Know Your Password"
qVVAirwMLns,"Gravity Doesn't Always Point Straight To The Earth's Core"
hqF1dr5dNgE,"Giant Underground Trampolines!"
NQrxzgd6ASA,"What's The Longest Word In The English Language?"
cLVWRHuPsas,"Some Places Have Lower Gravity Than Others"
UEfP1OKKz_Q,"British Plugs Are Better Than All Other Plugs, And Here's Why"
sTzp76JXsoY,"Why Do Flag Emoji Count As Two Characters?"
d9Qnobvx_kM,"The Equation of Time: Clocks Vs Sundials"
uhtUYzubRHU,"How Do You Make Something Last 1,000 Years?"
TUKQfMFKfjk,"Fail-Safe vs. Fail-Deadly (with Colin Furze)"
_BMlu2wgBJs,"The Nuclear Reactor In The Middle Of London"
W1WGBhTuLpQ,"The Most Ridiculous Game Of Football In History"
BNVT7LP0Ouw,"Angels Are Actually Pretty Terrifying"
BgAdeuxkUyY,"How YouTube Video Stabilization Works"
3woUopc1ZS4,"The Early Steam Train With No Brakes: Stephenson's Rocket"
FX1slLeJRPg,"The Three Types of Twilight, and The Days Without Night"
SopJr0yHt-w,"The Rise and Fall of the Gasometer"
mRQt_PMhBXY,"The Level Crossing You Have To Power Yourself"
ByUPFYxy5vw,"Is Paris Syndrome A Real Thing?"
VYH87V6EHrk,"Privacy In France: A Lot Of French People Might Be About To Sue Me"
GMwnyWP52Ys,"Point Zero: Where All Roads Start"
lj-DS8SMxSw,"The 19th Century Channel Tunnel Wasn't Just A Dream"
vWmDHO_0P5Q,"British Tanks Are Better Than All Other Tanks, And Here's Why"
XwpJ01nguoo,"The London Railway of the Dead"
_LPw1hlMCaA,"Britain Has 555 Phone Numbers Too"
z49LjJj3VTI,"Never Call Someone Tired and Emotional In England"
PHrWzF2VuAg,"Origami In Space"
z_1mi9w-NwE,"Why Do We Not Have A Cure For The Common Cold Yet?"
rQB5OWyGVWU,"How Does A Geyser Work?"
zvIoKEpD-hI,"Let's Talk About Names. In Iceland."
KzQw00SSOQQ,"Moss Is Terrible For Emergency Navigation"
yg67YXYedwo,"The Mississippi River Wants To Move"
RuzoIG9py_c,"Why Was AllAdvantage.com Popular In Beverly Hills?"
OlJlBIMQy7k,"Disney Could Go Nuclear If They Wanted To"
z45obkskRmw,"The SPF Rating On Sunscreen Is Questionable At Best"
XUece-2WmuM,"How To Tell If You're Dreaming"
VBs_ABt-hRc,"The Datablast: Experimental Interactive TV From The 1990s"
IsmjW7-IaSo,"How To Fall Into A Swimming Pool"
zPtbzJlcNKc,"Your GPS Shuts Down If It Goes Too Fast"
89VAPZz1Nf0,"The Hard Part About Getting To Orbit Isn't The Height"
1W3AylLOHx4,"How To Throw A Bucket Of Water At Someone"
Wm8ZoVQ_OJo,"The Image That Can Break Your Brain"
mwDkg3pPfjE,"British Ice Cream Doesn't Have To Contain Milk"
w3CO2SyXDZc,"Einstein Wasn't The First Scientist To Talk About Relativity"
fa28lIGuxq8,"Why Do Reversing Trucks Not Beep Any More?"
lyHbCAY3hqM,"Why Is London's Cable Car So Damn High?"
Ko51cynAjzY,"British Nuclear War from Beyond the Grave: The Letter of Last Resort"
XS36ijvZOME,"Why Wind Farms Don't Always Turn When It's Windy"
B29jqZWMLkM,"How To (Appear To) Slap Someone Across The Face (On Stage)"
FGxKQvdLrng,"How To (Appear To) Strangle Someone (On Stage)"
SmOsTHaqFSU,"Platform 9¾ Is In The Wrong Place"
DNUhKkNY6x0,"A Zeppelin, A Cat, and The World's First In-Flight Radio Message"
B98O6LlLT4Y,"You Can Gold Plate Your Tongue For About $2"
fRPWlBAgSnw,"The Secret Button on Pedestrian Crossings"
AVHHs3YUm00,"The Thames Still Has Some 19th Century Stink In It"
uzP8FFKpwQ0,"Why Does Nighttime Smartphone Footage Look All Flickery in Europe?"
jJWgRghIihQ,"The Underground Roundabouts of Tromsø"
oqbsxjmB49Q,"The 134-Hour Television Show from the Arctic Circle"
tMR25RSOzFo,"The Secret Pattern That Stops You Copying Bank Notes"
nYxFrMNWbtI,"How To Make An Orange Peel Flamethrower"
SQ3g5gPKlDM,"Why Aren't There More Helicopter Crashes In London?"
X5V45wYwrkY,"There Are Special Crossings For Horses In Britain"
Ei6LKHNFpeE,"I finally found a useful monorail."
pk9v3m7Slv8,"I thought the treadmill crane was fictional."
q3LuZeekVX4,"This is the most interesting roof in London."
2vd8Wfk9im0,"Delivering mail by jumping from a moving boat"
QazsDS8TQ0w,"A geyser that shoots sparkling mineral water"
m0mwlSZ0bQQ,"It's a pile of mining waste. Want to go skiing on it?"
cz231Zi8Z7g,"Maybe rich people should build weird fountains again"
SSg3T0aK-ck,"I rode a giant mechanical elephant. You can too."
_zJbi9YatcA,"You're not allowed in this cave. But there's a copy."
6kolTgj7uQc,"Europe's toughest airport landing used to be a lot harder"
19o8yPaVp58,"Downhill, on a couch, on public roads."
swLyst02ZK4,"The bridge that must legally wobble"
ce-QHeZnVu4,"The giant archive hidden under the British countryside"
mzAfich6mow,"After 140 years, this old technology still keeps trains safe"
ELGWbY4xBDs,"The Elie Chainwalk is safe, as long as you follow the signs"
kBaLb1C4WAg,"This town forgot to be a city"
9XSzwbFCFtc,"The giant chainmail box that stops a house dissolving"
EfdwRRpiYGQ,"Literally just three minutes where I talk about some rocks"
LKSTmcvEdoU,"How one British laboratory protects the world's chocolate"
rhJWD2TMiYE,"The meters-high mountain of mannequins in the Midlands"
eY-XHAoVEeU,"The Thames Barrier must never fail. Here's why it doesn't."
xym2R6_Qd7c,"The town where holding fireworks over your head is a tradition"
zZkusjDFlS0,"The tunnel where people pay to inhale radioactive gas"
NL5sRCRa7AE,"This tiny railroad across the sea has an important job"
o-oVXYkBwgw,"Why this falling rocks sign is more important than most"
2h1s6S4kotE,"The shooting range where you fire over a busy road"
A6F96xSoLPg,"The world's only float-through McDonalds"
A2g4u9F9i90,"I thought the Schmid Peoplemover was impossible"
6TLcaJdsRr0,"The world's most useful model railway"
10Y-gWNJ2Sw,"The public toll road with no speed limit"
KVXVNX4Crh4,"Three strange river crossings"
dzYP01CPC6E,"I took the world's shortest flight. It was underwhelming."
hUyvk_hdMNs,"I helped cover a 5,000-year-old monument with worn-out tires"
kZ1CZh85Ugs,"The diving gondola: a strange elevator to the ocean floor"
fzfpExS_wic,"I tried to film a volcano and it was a complete disaster"
6RiYXI1Tfu4,"The UK's last aerial ropeway uses no power, moves 300 tonnes a day, and will be gone by 2036."
ssZ_8cqfBlE,"How many robots does it take to run a grocery store?"
g_2SlqF0kA0,"Landing at the only airport that's also a public beach"
suAC_PDP3Sk,"The Accidental Rush for Anthrax Island"
3FxfXVuHRjM,"The beach where Lego keeps washing up"
AJ38l6DX4f8,"England's oldest attraction turns teddy bears to stone"
LyfnoEa-P58,"This changed my mind about aquariums."
OW5MlvvqGjM,"No-one is going to save Covehithe"
nQOroZNr_fw,"The never-used road where the BBC crash cars"
mM7C_Pw7OL8,"We walked the most dangerous path in Britain"
LseK5gp66u8,"If these pumps ever stop, part of Germany floods."
5te73hfCpuU,"The theme park inside an old nuclear power plant"
-khe6IY9bTM,"Swimming between two continents, debunked"
hr03xF08qoU,"Is the most northern part of Iceland still there?"
-fXmaeDMsh0,"The Abandoned Hill With Two Members Of Parliament"
nLCAvIr9rWo,"The first internet bench probably wasn't"
WUVZbBBHrI4,"This billion-euro nuclear reactor was never switched on"
feCQPD9DSOA,"The country where all public transit is free"
VMinwf-kRlA,"The Dutch headwind cycling championships are amazing"
Mw44wHG4KOc,"The bridge that's in two countries at the same time"
xGQgmmrXONk,"The world's littlest skyscraper was a massive scam"
DpfrGZJyKmo,"The world's only wingsuit tunnel"
7dlLmeage2U,"The giant art that keeps planes quiet"
aoy_WJ3mE50,"These tunnels are designed for 100,000 years"
n-Ej2EtE744,"The toxic pit with a $3 admission fee"
zFiNmEWXPPM,"The only bit of Louisiana's coast that isn't sinking"
cfJOW2PtrGk,"These tunnels stop part of Tokyo flooding"
6Y4QGFte3T8,"The world's first solar powered train"
sstRJcaFU9U,"The one-lane bridge shared by cars and trains"
VRUmt_4F_58,"The circle visible from space"
kQ8WI3nc1l0,"The Hundred-Tonne Robots That Help Keep New Zealand Running"
j9JD9W0n7gE,"The sculpture that looks like a real-life cartoon"
bOWse-Xm6Ao,"The Last Play-For-Cash Fascination Parlor"
AtkmDmMzZO8,"The broken building that must not be destroyed"
NQ5cf_WuJs0,"The canyon that humans made by accident"
pcVGqtmd2wM,"The city of golf carts"
YNPpB_BRZJ8,"An American Stonehenge: The Mysterious Georgia Guidestones"
lLUcOFwZvyY,"Testing the world's longest echo"
s6kNR8Mj0ZE,"I hit 3,000-year-old art with a hammer"
04F5osXK4vw,"Testing the sound mirrors that protected Britain"
Et3YW_qS_1o,"Watching for nuclear attack in the Arctic"
frhMomcKT9o,"The new highway to the Arctic Ocean"
E4nZDSLdIiM,"Making 200,000 tons of arsenic dust safe"
DWYthXD14pw,"The town that was burned for science"
EocJm3Dry4E,"The US-Canada border splits this road down the middle"
CB3LJdMYzrQ,"A Town Called Asbestos"
C2NNujJKJL4,"The US president has a bulletproof railcar"
ZrP0Mqj9U_c,"There's a mermaid show in Florida"
DSG-zxGRkJw,"This city centre has no street names"
Ii_Gz1WbBGA,"Remote controlling an entire airport"
zOgle88sKro,"The German town that's literally cracking apart"
1cUUfMeOijg,"The Lava Lamps That Help Keep The Internet Secure"
4JAjIjXbe3Y,"The Story of Salvation Mountain"
Ef93WmlEho0,"Why California's musical road sounds terrible"
b6utGZQ9Sks,"Reaction ferries are really clever"
-DGXHMOhXAw,"The rotary jail had a slight problem"
PB7HT3BZLzM,"A nuclear waste dump you can walk on"
kdTsbFS4xmI,"An elevator that actually goes sideways"
PfdBTsyrqaI,"The Museum of Failure"
jGo9gYypQc8,"The poison garden of Alnwick"
nUB7IflBBrc,"The world's most powerful tidal current"
oGUcAg4W2hw,"The Beer Pipeline of Bruges"
8T7ux3DXP_w,"Inside YouTube's Mixed Reality VR Lab"
4gE9qxX5VjE,"Elia: The World's Most Frustrating Work of Art"
KwHj4lj3F-k,"The Confusing Borders of Lake Constance"
i70wkxmumAw,"Stopping a Disastrous Plan with Science: the Bay Model"
-zjJpFYtx9s,"Arson as a Christmas Tradition: The Gävle Goat"
8cICu9HtGhQ,"The World's Most Dangerous Path Isn't So Dangerous Any More"
iaSaWfw07Sw,"Pod Cars of the Past and Future: The Morgantown PRT"
eQEGPATQe5s,"The Town Where Wi-Fi Is Banned: The Green Bank Telescope and the Quiet Zone"
vULUkp7Ttss,"Listening for Nuclear Tests at the Top of the World"
KK3FQXObWEs,"The Fake-British Ghost Town In China: Thames Town"
QWItLyDzMyE,"The Scientifically Inaccurate Dinosaurs That Must Stay That Way"
3WHmETKW72E,"The Bus Replacement Rail Service (yes, that's the right way round)"
A739p5HkRZ8,"The Strangest Elevator In Italy: the Ascensore Castello d'Albertis-Montegalletto, Genoa"
mCSUmwP02T8,"The Most Dangerous Stretch of Water in the World: The Strid at Bolton Abbey, Yorkshire"
Lsiq_3-cSHs,"The Not-Quite-Robots That Help Fix Fusion Reactors"
iGjPn8V4O9E,"Driving Through Russia Without A Visa: The Saatse Boot"
m5dXWJi4pIA,"Inside A Satellite Clean Room"
xo6IubbQuCk,"The Second Largest Freezer in Norway"
F4KZLcvMQWg,"Why Wuppertal's Suspended Monorail Wasn't The Future Of Travel"
bUknYGEbLsg,"700 Flavours of Soda Pop: Galco's in Los Angeles"
QXuTz-5N1Aw,"The Strange St Pauli Elbtunnel"
qHO9gARac-w,"Archimedes and a Boat Lift: the Falkirk Wheel"
xbi6eoh63ZQ,"The Russian Woodpecker of Chernobyl: How To See Over The Horizon"
BhYEkRjUWM8,"How to Visit Chernobyl"
uV4Kz2ednjs,"Radioactive Bananas in Chernobyl"
vK8ykPmtRyg,"Containing the Worst Nuclear Disaster in History: Chernobyl's New Confinement Structure"
0Sz55gmNUaI,"The World's Largest Indoor Waterpark"
ch7HwhGynXk,"The Islands Where Guns are Required"
eFJ-ze2-SqU,"How To Visit Svalbard"
oZ2Qms2fMH8,"The Sundial That Works 24 Hours A Day"
pwGcrSuAIuc,"What's The Doomsday Seed Vault Really For?"
