id,title,summary
10,"Ten years ago, I predicted 2022. Did I get it right?","In 2012, I told a story about the future. I don't like looking back at things I've made in the past. But in the last couple of weeks, I've some a few emails saying: ""Tom, ten years ago, you tried to predict 2022, or at least some of the technology                and online world of 2022"" I've come back to the same place that I gave that talk. I've used YouTube's tools to go back and blur the faces in the original as well, because there's a big difference between asking a friend for a headshot for this talk and giving it to a few people. And I've got a story for you. It's set in a future, not necessarily the future, but we weren't in the smartphone era yet. I'm not saying this is what will happen. But I did predict the UI was going to change a bit. And the borders of phone screens are going to get smaller. And by sheer luck, I used a black background on the phone, so you can't see if there is a notch or not at the top. And all the political guesses I made in 2012 were completely wrong, but then, when has anyone been even able to predict politics? And I was right on the mobile network speed."
11,The meters-high mountain of mannequins in the Midlands,"Lincolnshire man re-hires unwanted mannequins for £50 a time. 25,000 of the dummies turned up from all over Europe over four months. The company name is a deliberate misspelling of the word ""manna"" Mannequin mountain is a metres-high mountain of mannequin parts in the Midlands. It's a little creepy being surrounded by not-quite-human figures in every direction, particularly around Halloween, says Lenny Henry, owner of the company. He says: ""I'm like, [whimpering] I'm sort of having a freak out for the future"" 'I did something that I called the ""Awful Walk out of the middle of nowhere,"" Lenny says. 'I'll be honest with you, it's a bit creepy,' he adds, 'but I'm not afraid of it' 'I've got 10 pairs of hands to go with that, so it needs to be a really interesting one,' he says, 'because it's not just a pile of body parts.' 'I don't need any manenequins. I've got a lot of hands,' Lenny adds. 'That's what I'm here for.' 'There's a lot more to life than just being able to buy things online and throw them in the bin,' says the company's founder, 'and that's the way to go'"
12,The hidden background noise that can catch criminals,"The National Grid has recently released their data, seven years recorded right at the source. The whole grid runs at the same, slightly wobbling, almost-50 hertz, no matter where you are. A forensic team has been using this data to try and find the source of the hum. They've used a signal processing algorithm to extract the peak, and then constrain the algorithm so that it can't suddenly jump up here or there. The team never said they were certain about the timing, only that they had a very high chance of being wrong. They were. There wasn't any apparent trace of ENF around 50 hertz. So here we have the footage from Taha, an educator and sex educator, and we can see no trace of an ENF. And we can be fairly confident that this is a little bit of something we'd expect ENF to behave in a way that we'd hope it wouldn't, because it seems to be quite strong andbehaving in a ways that we wouldn't expect it to. It's a bit of a half-wayway through the recording: maybe there's something there. But it's not prohibitive. The longer recording you have, the better. It will take a while to process, but it will take them a day to process it."
13,The Thames Barrier must never fail. Here's why it doesn't.,"If the Thames Barrier were to fail when it was needed, the damage would be almost impossible to calculate. The financial cost of London flooding would be somewhere between £20 billion and £100 billion. The Thames Barrier is designed to not fail and is rotated up into place when it is needed. The barrier has three connections to the UK power grid, and it does, in fact, work. It has three modes of operation, so that if we have a problem of a technical nature, we can go to Mode 2, Mode 3 or Mode 4 and the barrier can fall back on the other side of the river to protect London. The Barrier has ten gates, each of which can be moved by one of four separate motors. It is completely independent of the national power grid and has three separate diesel generators, which couldoperate the entire thing if one of them fails. It also has three different types of pumps, which are used to control the flow of water upstream and downstream. The barriers are designed to close early in the tidal cycle and then re-open at the end of the cycle, when the tide has gone out. It can take up to a month to move each of the ten individual gates at least twice a month. The gates are rotated up and down at a rate of around one metre a day."
14,The world's most expensive object by weight,"The British Guiana one cent magenta stamp is worth $8.3 million. It is the most expensive object in the world by weight. The stamp was first discovered by a 12-year-old schoolboy in 1873. It's on display at the world's oldest stamp dealership in New York. The company is selling shares in it to raise money for conservation and light reasons. It will remain on display indefinitely in anoxygen-free conservation case. It has repeatedly set the record for most expensive, and every time it does, it adds another line to its already very long history. The video is not an endorsement, by the way, and I have no desire to buy or sell a stamp or share in a company that's selling it or raising its value in a way that will help it keep its value or raise its value. The film is produced by the team behind the BBC's The World's Most Expensive Stamps, which airs on BBC2 on Sundays at 10pm. For more information, visit the BBC website here and the BBC iPlayer here, or click here for the video's YouTube channel. For the full video, click here and for the BBC Radio 4 version of this article, click the link below: http://www.bbc.co.uk/news/features/the-world-most-expensive-stamp-is-8-3-million-for-about-40-milligrams."
15,The town where holding fireworks over your head is a tradition,"Across Britain, a lot of towns and villages have all sorts of strange, old traditions for Bonfire Night. Most of those traditions involve fire, pyrotechnics, and a significant chance of personal injury to anyone taking part. This is Bridgwater, southwest England, and today, I'll be holding a terrifying amount of gunpowder directly above my head, in a big parade with a couple of hundred other people. This isn't going to be a normal video, because honestly, honestly, I'm not really sure what happens next. It's like, any of these traditional, regional things that wouldn't be allowed if you were to ask anywhere else in the world to do it now. They were roped on for generations. But rope... tends to stretch. And once I'm happy that they're all in place, I’m happy that I'm all in the right place, once I hear a horn sound. And that's the sound of a bonfire going off in the middle of the street. And it's going to sound a bit like that, once you get used to it. It’s going to feel like it’ll be going on for a long time, but it will stop. And then it will be over."
16,The tunnel where people pay to inhale radioactive gas,"Radon, or ""rad-don"" if you're German, is a colorless, odorless, radioactive gas. In Bad Kreuznach, Germany, people are exposed to radon deliberately for pain relief. The dose is, per one hour treatment, between 30-60,000 bequerels. All the major international authorities say it's entirely unproven and there isn't any truly safe dose of radiation. The video should have gone out weeks ago, but I just wasn't comfortable with it when I got back here to the UK. I need to make something very clear or personal or personal: historical or scientific. I've got a duty of care to the audience, and I also have a duty to the scientific and personal truth: I think radon therapy is fascinating, certainlydefinitely works, but it's not an endorsement or personal endorsement. I don't really like doing meta stuff where I talk about the process of making videos. But I can't find any other way                to give enough context                to make this video work. It's important to break the format                visually as well. I think it's important that we get the full story behind the radon treatment. I'm not sure if it's even safe to talk about this at the moment."
17,This tiny railroad across the sea has an important job,"The Hallig islands are a group of barrier islands in the Wadden Sea. They are protected by a network of sandbars and mudflats that act as a natural wave break and storm defense. People who live on the islands have their own personal trains to get to and from the mainland. The railway is still in regular use, helping to build the sea defenses in the area. The islands go mostly underwater 50 or 60 times a year, usually in winter, and the houses are up on mounds to protect them from the rising sea. But one of the problems with living on what's basically a bit of sea defense is that you're going to be the one that gets flooded. It seems strange to describe an island as something that needs to be kept healthy, but yeah, that's why the railway's here. It's a free railroad that comes with it, and tourists can ride too. But unfortunately I'm not allowed to fly a drone here because this is a wildlife reserve. It looks quirky and interesting.  But the reason behind it grotesqueis to stop these islands, and eventually the mainland, being flooded by rising seas. And to understand why they need those defenses, we need to take a look                at the bigger picture. The story here is way more interesting than that."
18,Why this &quot;falling rocks&quot; sign is more important than most,"A Swiss village has installed a radar that can detect rockfalls and close the road. The traffic lights go red, and then the radar tracks the rockfall. If the rock falls too close to the road, the traffic light switches to flashing orange. Since installation, the radar has detected five and a half thousand events. The road is still closed in the village of Brienz, Switzerland, but the traffic lights are now back to normal and the road is safe to pass. The village is safe from the big individual rockfalls, but not so much from the smaller, smaller ones that can be dangerous to drive on. The odds of a boulder actually hitting a car are small, but they're not zero. The problem is finding the balance between false positives, where the road will be closed half the time, and false negatives, where cars could get hit by boulders. For more information on the project, visit: http://www.charter.org.uk/news/features/charter-features-charter/charlotte-says-rock-falls-can-be-dangerous-to-drive-on-a-high-speed-road-in-Switzerland-and-there-is-an-easy-fix-for-it."
19,"An actual, real-world use for robot dogs","Energy Robotics is putting software on robots to make them smart. The company is using a robot to constantly do inspection tasks in the Alps. The robot autonomously extracts information and reacts based on the results. It sends an alarm if something is out of the norm, or collects information and puts it into a report. The robots can also be used in oil and gas, where many of our robots are actually working, so that if the robot detects someone lying on the ground, it brings the person to the ground to help. The firm is using robots on tracks or on wheels or on tracks, which we call ""Man Downector"",so that if someone fails to succeed on a trial-based test, the robot will help the person succeed on the next trial- based on whether or not the person is lying on ground at the time of the incident. The technology is currently being tested in a lab, but could one day be rolled out in the real world, the company says. Back to Mail Online home. back to the page you came from. Back To the pageyou came from, or click here for more information on. the Energy Robotics website. The team at Energy Robotics is working on a project to use robots to inspect a hydroelectric power plant in Austria. The project is called Man Downector."
20,The highway where trucks work like electric trains,"Electric trucks are slowly starting to become a thing. The world already has a proven, tested solution for sending power to massive, fast-moving vehicles. Electric trains have pulled power from overhead wires for more than a century. The full-scale scenario for Germany would be to equip 1/3 of the German highway network. That could reduce 2/3. of the greenhouse gas emissions by heavy trucks. The rest of Europe won't be behind the curve for a while, however, with a ban on new petrol and diesel trucks by 2040 only 18 years away, according to the UK government. The UK is planning to ban new fuel-efficient trucks by the end of the decade, and to replace them with a hybrid vehicle by 2035. The ban is expected to be the biggest in the history of the world, with the UK the only country so far to have implemented the ban. The British government says the ban is likely to be lifted in the next few years, but it's not yet clear when the ban will come into force. For more information on electric trucks, visit eHighway.org.uk/electric-trucks or go to www.ehighway.co.uk for more information about electric trucks and how to get on to the network."
21,The shooting range where you fire over a busy road,"Rifle shooting is a national sport in Switzerland. Service in the military is compulsory for men, albeitthese days with the choice to take on civil service work instead. A lot of people decide to keep their firearm when they finish their military service. But they pretty much all have thorough training in how to use them. If someone wants to cause harm with a gun, this is not the way they'd do it, says the Swiss police chief, Hans-Joachim Watzke. ""I'm not sure there's anyone who's sensible enough to do the first bits of that, and unhinged enough to take the last part of it,"" he says. ""It's unlikely to happen. It's not likely to happen"" ""I think it's the best possibledemonstration of the attitude that Switzerland has to firearms safety,"" says the police chief. ""If you're shooting a rifle here, you're lying down and you cannot see the road. That just isn't a possible trajectory for a bullet that can damage anything other than the hilltop,"" he adds. ""And also, breaking the safety rules when you're surrounded by military-trained firearms enthusiasts is... not a great plan?"" says Watzak. ""What if you stand up?"" he asks. ""That's basically the same question"""
22,The world's only float-through McDonalds,"The world's only ""float-through McDonald's"" is on a canal on the Elbe River in Germany. You have to order on the smartphone app. The McBoat is open 24/7 in summer and in spring in Hamburg. The Golden Arches have a reputation for being controlled and standardised. But seeing small reinventions of that formula can be fascinating. The video is not an advert for McDonald's. It's a mixture of familiarity and novelty, says the presenter. The full video is available to watch on CNN.com and the CNN iReport app. For more information on the McB Boat, visit: www.cnn.com/the-McBoat and www.mrboat.com. For the rest of the video, visit CNN.co.uk/The-Mcboat. For all the latest from CNN.uk, visit the CNN Newsroom. For a full list of CNN's iReport videos, visit http://www.rcn.com/. For a list of the latest CNN news stories, visit www.corporation-news.com%. For a complete list of news stories from CNN, click here: http:// www.crimson.co/news/cnn/top-stories/2013/01/29/news-top-10-stories-cnn-topstories."
23,I thought the Schmid Peoplemover was impossible,"Only three of these elevators have everactually been installed. The Schmid Peoplemover has been doing exactly that for about 20 years. It locks onto a carrier device and a counterweight, with safety systems roughly equivalent to a regular elevator. The closest analogy I can come up with is that it's a bit like closing an up-and-over garage door. The alternative is to put in an underpass, or two mass-produced elevators and a footbridge between them. It doesn't work for everyone, but it's better than nothing. It solves a specific problem when there are more reliable alternatives that are just a bit morehassle-free. It's very clever, very clever. But it's not well-wanted places to install it in, not many places not wanted to take the risk to take it out of its place, and it's very expensive to install. It would be nice to have it on every train station in the world, but I don't think that's possible. It'd be nice if it were on every single train station, but that's not going to happen. It wouldn't be the end of the world. It might be nice, though, if there were a way to make it more affordable."
24,The world's most useful model railway,"Darmstadt, Germany, is home to the world's most powerful model railway. It's one of the oldest systems on the Deutsche Bahn network. Signalmen are trained to use levers and pulleys manually to control trains. The railway has a fictional layout, 1.2 kilometres long, but it's actually 1,000 metres wide. It is also equipped with a 'route locking' system, which locks points into place when a train is at a certain point in the track. The German railway network is one of Europe's biggest and most complex. It has a network of more than 2,000 stations. It was built in 1936, and has been used by the German railway system since. It also has a number of'safety interlock' systems, which lock the points in place when they are at the right position. The system is called P2, which stands for 'precautionary route locking' It's a physical lock, not a computer-based interlock, and can be used to stop trains going too far or too fast. It can also be used as a training tool to teach people how to drive a train, or to deal with problems with the railway's signal system, such as power outages or signalling problems. It costs around £1.5 million a year to run the system."
25,The public toll road with no speed limit,"The Nürburgring Nordschleife is the longest permanent racetrack in the world. There is no speed limit on most of the track, because Germany has no national speed limit. The track is unforgiving, with sections where you will get what roller coaster fans would call air time. There are lots of safety rules, but racing on the Ring on days like this is not allowed. If you crash on a British road, the local insurance company will send out a bill that will go to your local highways company, not to the German ginsurance company. But if you are conscious, you will be delivered a bill, but it turns out that's also very good in the UK, as well as in the U.S. and other countries around the world, such as Australia and New Zealand, for any damage caused by a crash on the track. For more information on the Nürbergring, visit nurbergring.org.uk or go to nurburgring.co.uk/en-uk/racing-and-car-testing-on-the-nurberg-nordsch-leife-nürburg-nord-ring-northerburg-sport-tour."
26,Three strange river crossings,"The Hulmes Ferry takes people over the Manchester Ship Canal. The Thelwall Ferry takes cyclists and walkers across the River Mersey. The Peel Group owns the canal and the land around it. The canal was built during the Industrial Revolution, but it's now more than a century old. The ferry is still running, despite the canal being closed due to low water levels. The company is called Peel Group, and the canal is owned by the Peel Group. It's an enormous property investment, with what seems like every major bit of land in the area reached out to them. But they've turned me down for interviews, so I have to rely on secondary sources, such as articles and quotes from secondary sources. And if I'm honest, I'm relying on those quotes and articles... I only found out I was travelling out to Manchester yesterday morning! I don't like doing that, but from the look of some of those articles, they're absolutely within their rights to do that. I'm not an expert, but I'll be honest, those water levels looked fine to me, but he's not the expert. I'll get back to why that happened later. I've got a bit of spare time, and I visited three river crossings, and all of them have something in common."
27,Why this observatory fires lasers at satellites,"If satellites are in a high enough orbit, well away from the atmosphere, they can predict their position. But there aren't any landmarks in orbit for them to refer to. So Earth has to look up in the sky and work out the position precisely. One of those somethings is hidden away in the countryside of southern England. It listens for signals from constellations of satellites in orbit. And by triangulating all those signals, using a lot of maths, it works out where you are and shows you a little dot on a map. But if they're all relying on each other, that could steadily drift apart from reality. It's not strictly true that the earth, the ground we're standing on, doesn't move. But it does look significantly better after dark. And that's what lets you work in day and night. The team at the Space Geodesy Facility at the University of Cambridge have been working on this for a few years. They hope to have a more even distribution of data from southern hemisphere to northern hemisphere by the end of the decade. But they're not there yet, so we'll have to wait and see. It could be a long time before we know the full extent of the effects of climate change on the Earth."
28,I took the world's shortest flight. It was underwhelming.,"The Orkney Islands are a 22,000-strong archipelago. The vast majority of their population lives on what's known as the ""mainland"" Only about 4,000 people live on the outer islands. Air service to Westray and Papa Westray is subsidized through the UK's public service obligation scheme. The world's shortest commercial flight runs from Westray to the next island, a mile away. The route costs £17 or £18 per person, depending on the number of people on the flight. It is the world's only commercial flight to the Orkneys, and takes 80 or so seconds to take off and land on the island of Kirkwall, the largest town in the archipelagos. It's also the longest commercial flight in the world, with a route length of 1.7 miles (2.7 km) and a landing time of 80-or-so seconds. The flight is operated by a private company called Loganair, which is based in Glasgow, Scotland, and flies from Heathrow Airport in the UK to Glasgow. It has a fleet of nine planes that can carry up to 20,000 passengers at a time. The flights are operated on a ""milk-k run"" basis, meaning they are not available on a free market basis."
29,The Islands With Too Much Power,"The Orkney Islands have so much renewable energy from wind and waves and tides that it's genuinely a problem. Power grid engineers have to make sure that the power being generated is always close to the power that's being used. There isn't a battery in the world big enough to deal with the daily peaks and troughs of national demand. We don't need to burn coal anymore. We need to be in a position where we've got a better way to get power from these islands. The Scottish government needs to approve plans for a new interconnector that could carry enough power for all the turbines that Orney could generate. It could cost up to a quarter of a billion pounds, but it could be done in the next few years. It would be the most of the highlands of Scotland could most ofthe highlands in the north east of Scotland. It's a very exciting time for Scottish renewable energy, and I'm looking forward to seeing what the future holds for the Orkneys and the rest of the Scottish mainland. I'm very excited about the future of renewable energy in the UK. I think it's going to be very exciting and exciting to see how it develops in the years to come. I hope you'll join me for the next episode of The Power Project."
30,"I helped cover a 5,000-year-old monument with worn-out tires","The Ness of Brodgar is one of the most important Archeological sites in Western Europe. It is a huge Neolithiccomplex discovered in 2002 by geophysics. A team of volunteers are putting 500 old tires on top of that to protect the site. The old tires are free, they're heavy, but they can be moved fairly easily. They're just soft enough not to cause damage when they're on topof the plastic sheeting. It means the site is still going to be there, intact, when spring comes again. It's a top priority for us to hopefully keep them there and keep them in prime condition for the next 5,000 years. The weather here can be brutal, it's nice today. But we're at the end of the Gulf Stream here, so it rarely gets too hot or too cold. But the wind is harsh and fast. And it blows in salt spray. And some of the tires will have actually been moved by the wind. But it's a bit more obvious when you know where we are: The Orkney Islands, off the northern tip of Scotland, are home to thousands of Neolithic dwellings. The site is a place of gathering, around 5000 years ago, when writing hadn't really been invented."
31,How one little boat (and me) held up miles of London traffic at Tower Bridge,"In half an hour, Tower Bridge is going to open its bascules. The bascules are the bit of the road that the road sits on down below. A sailing barge called Will                wants to pass through the bridge, so the bridge must lift. But it's going to delay thousands of drivers, cyclists, and pedestrians. It will cause tailbacks for miles. The bridge is a tourist attraction, but it's still a working bridge. It must legally be opened, however, to let river traffic through any hour of any day. It was laid down in law in 1885 when the bridge was commissioned, and it hasn't been changed. It's quite straightforward to get, once it actually starts moving, it's quite easy to get in and out of. If you've got a tall enough boat, you can actually call Tower Bridge to have a go at raising it. The process is very similar to what the Victorians actually put in in the early '70s, up until the early ‘70s until the steam was used up. The engineers are getting ready for the lift. They work really closely with a number of agencies, including the Port of London Authority, Transport for London, the police as well as the local boroughs. They check the electrics, because we've got high voltage electric levels in here."
32,The diving gondola: a strange elevator to the ocean floor,"The Tauchgondel is a diving gondola that goes underwater in the Baltic Sea. It opened in 2009 and is one of four similar attractions on the German coast. The novelty is being on an actual short diving expedition without needing scuba equipment or a wetsuit. The experience is a little unnerving seeing the ocean rise around you, out of your control, but it's also a bit reassuring to surface again into the sunshine. It's not crystal-clear Caribbean water on the best of days, and today all those waves are churning up the ocean bed as well. But if you were hoping that sharks or huge schools of tropical fish would swim by, you’re going to be disappointed. It’s not about the fish, it’'s about the experience. It really is a really strange thing to be able to see the ocean floor from the top of a gondolola in the middle of the day. It feels like it should be some sort of 19th-century Industrial Revolution invention. But it's actually a diving bell, with a chamber that sinks under the water and lets you look out on the oceanfloor. And with modern technology comes modern safety standards, so it's a bit of a let-down."
33,I tried to film a volcano and it was a complete disaster,"Iceland has a new volcano. It's close to the airport, and relatively easy to get to. A few hours earlier there was active, flowing, red-hot lava there. But now the volcano has stopped erupting. There will be no new lava for... maybe just the next day, or maybe it's all over. The Graph is data from the Icelandic Meterological Office's sensors. It tracks the rumblings at certain frequencies around Iceland. The graph is also the best way to see how Iceland is dealing with its new and dangerous volcano, the Eyjafjallajökull volcano, and other volcanoes. It is available on the BBC iPlayer and is free to download from the iTunes store and the Google Play store. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255 or click here for information on how to get in touch with the National suicide Prevention Lifeline on 1+1 1-8457 909090, or visit http://www.suicidepreventionlifeline.org/. For confidential. support in the United States, call the national suicide prevention Lifeline at 1-877-909090. For information on the University of Iceland's helpline, call 1-457-939-9090."
34,"An Unedited, Rain-Soaked Ride on Claughton's Aerial Ropeway","[distant voices and machinery]                [continuous rattling and clanking]                ""And again!""                ""I'm coming for you""                ""Come with me, my love""                 ""I've been waiting for you for a long time""                 ""I love you, your love!""                 ""And again! I'm coming with you for you.""                 ""My love, come with me for a longer time!""                  ""I'm Coming for you, my Love!""                  ""I'll be with you soon, my beloved""                  ""What do you want?""                 ""What would you like to do with me?""                  ""Go with me to a certain place, a certain time, a specific place""                   ""And I'll be there with you""   ""Yes, I'd like to go with you to a particular place, to a specific time, and to a different place""           various destinations.                                                                                                â ""We'll be going to the same place again and again!""       ""No, we won't be going back to that place again!"""
35,"The UK's last aerial ropeway uses no power, moves 300 tonnes a day, and will be gone by 2036.","This is the last aerial ropeway in Britain. It's nearly a hundred years old. It needs no fuel and no electricity to run. In 15 years time, it'll be gone. It takes about half an hour for a round trip. There are about 40 buckets. It will move about 300 tonnes of shale every day with no need for petrol or electricity. All the power for thisropeway comes from gravity. The factory was designed to produce 42 million bricks annually. There was a £4.4 million investment four years ago that increased the productivity up to 50 million. It producesfrost-resistant product. The temperature we fire at and the durability of the ceramic bond means we can sell this product in all extreme weathers. There's nowhere in the UK we can't sell to with our durability ofthe product at Claughton. It is a very difficult, very old, very difficult process to replace. There used to be hundreds of these ropeways around Britain, industrial sites, industrial mines and quarries. This is the only one in the country where somebody did somebody did a computer design of a new ropway many years ago, and the design of this trele heights and weights are unbelievably good. It has to cross the road, certainly in the last 50, 60 years, but it is a possibility."
