id,title,summary
10,The hidden background noise that can catch criminals,"The National Grid have recently released their data, seven years recorded right at the source. The whole grid runs at the same, slightly wobbling, almost-50 hertz, no matter where you are. That mains hum can be really annoying for people recording audio. But if you were to log what that wobbling grid frequency was, every second of every day, then in theory, you'd have a perfect watermark to prove the time when anything was recorded. Does it work? Well to find out, I asked some friends of mine who make videos to send me over some of their raw footage, unprocessed, unfiltered. And I asked the forensic team: can you timestamp it? First up, footage from Taha,  one of the team behind educational channel Answer in Progress. There's a quite strong component here, and you can see it's got a bit of a wobble. But we can be fairly confident this is an ENF trace. Next up, Hannah Witton, sex and relationships educator. There wasn't a component at around 50 hertz. So there's a possibility that it's just ambient noise. And there's no strong component at all at all for the next step to look for. So he sent B-roll from his channel, because he's not talking to thermostat."
11,The world's most expensive object by weight,"The British Guiana one cent magenta stamp is worth $8.3 million. It was first discovered in 1873 by a 12-year-old schoolboy. It is the only stamp in British Commonwealth history where no other examples have ever turned up. Stanley Gibbons was lucky enough to purchase the stamp at auction in New York. It's on display to the public here, at least in part, because the company is selling shares in it and more fame will help it keep or raise its value. If you want to challenge this for ""the most expensive object in the world by weight"", and take the very, very tiny crown, the first step would be to find something even lighter and just as non-fungible. Good luck, you'll have to watch the video to find out what the answer to the question in the title, it's this stamp. The video will be shown every Monday, Wednesday and Friday, just for conservation and light reasons, but indefinitely here in an oxygen-free conservation case. Click here for more information about how to get your hands on a copy of the latest edition of The Collectors' Guide to the World's Most Expensive Stamps, published by Simon & Schuster, on sale now for £9.99."
12,"An actual, real-world use for robot dogs","Energy Robotics is putting software on robots to make them smart. The robot has built-in navigation and obstacle avoidance. We need to have more robots on the ground, because we have not enough engineers. The goal is to replace certain parts in the long run, especially those where humans need to be sent in hazardous environments. In Germany, we have about 8,000 substations that need inspections, and the number of substations is growing due to the change to renewable energy. We are using a robot to continuously do inspection tasks, and therefore testing if this is plausible in the middle of the Alps. This trial will succeed or fail based on two questions:  does it work, or does it fail? And if so, will it be cheaper overall than sending out people, particularly when there might be a shortage of engineers in the future? The robot is not remote controlled. It's doing that task autonomously.  That means we teach it a certain mission,  and the robot does the repetition of the mission. But it'll also be able to do something called ""click and inspect"", which means we have a digital twin of the environment, and then we're just saying what the robot needs to inspect. And the robot plans a path towards the inspection point and gets the information. It then autonomously extracts that information and reacts based on the results."
13,The Islands With Too Much Power,"The Orkney Islands, in the far north east of Scotland, have a huge surplus of renewable energy. The islands need between 7 and 46 megawatts of power, depending on the time of day and year. Solution number one is to turn off the turbines, but that's a waste. Solution two is to build a new interconnector that could carry enough power for the islands away from the mainland. Solution three is that the islands could start using more electricity for heating, ferries and heating. But most vehicles still use petrol or diesel, and getting around with ferries could change things for a lot of people around the country, including the Orkneys and the Shetland Islands. And solution four is to find a better way to get power from all the wind turbines that could reasonably put power all the way to the highlands of Scotland. But that will cost a quarter of a billion pounds, and it's all still politically in the balance in the Scottish National government to make sure it's going to be used, before it's approved. It's all a bit of a mess, but it's the only way we're going to get the power that we need in the long term, so we're not going to give up on it just yet."
14,The Shocking New Use for Red Telephone Boxes,"Community Heartbeat Trust provides community defibrillators in disused phone boxes. When a community contacts us, we'll let the local ambulance service know that a defibrilator is going in. When somebody phones 999, the ambulance service will be able to say ""It's located at the phone box, on the corner of X and Y roads"" The box is connected to the national grid so the light and the phone could work back when it was an actual phone box. It doesn't have an electricity meter, but it's never needed one. The electricity is there to provide electricity for the cabinet because there's a heater in the cabinet. It's not for thedefibrillator, the defibillators all work off batteries. And the heater is important because batteries do degrade in cold weather. The electrodes are water gel so they will freeze. There are concerns over maintaining dignity... life comes before dignity. We just need to use it on a dummy. It is as realistic a simulation as it's possible to get. So here's the story. Someone has collapsed, someone else is doing CPR, and I've been sent by the emergency operator to get this. I have to assume here's someone here doing CPR. It will tell you to take this... On/Off/Adult mode. Okay, we've done that now."" ""Call Emergency Medical Services now."""
15,History forgot these old fireworks. We recreated them.,"There are more than 200 rock cannon around Wales and they were used for all sorts of events. They more or less faded out in the mid-20th century. Most of the mines have closed and far fewer people have ready access to explosives these days. Back in the day, the Welsh miners would use goose quill. It was the only sort of natural tube you could find. So they'd chop a piece of goose. quill, fill it full of gunpowder, and then when you light one end of. it, it'll burn incrementally from that end down and then squirt a. bit of flame out of the other end. This is an exact replica of the cannon at Betws-y-Coed and we're going to fire it. It should be pretty much what a visiting dignitary would hear echoing round the Welsh valleys. I mean, that lovely. Like, the steady glow as it went through each one and then boom, boom for a while. Yeah. One of things I really want to stress is that building rock cannon takes skill. For a rock cannon, you want something that is going to maintain the hole and keep it and reuse it. Let's say you got this rockary in the next layer and that you can't get it out. That could be disastrous."
16,The world's last turntable ferry has a really clever design,"There's only one turntable ferry left in the world, and it's on Skye in western Scotland. The ferry has been operated by a man called Roddy MacLeod since the 1980s. When the tolls were removed from the Skye Bridge, he felt that the ferry's time was up. So, the local community banded together and thought, ""We can't have this"" The ferry is very seldom pointing in the direction it's actually going. Because of the wind and because of the tide, we often have to set the boat going in a different direction to allow us to get to where we want to go. The water here is tidal and the current is fast. There is quite a strong current. Even if you could line up straight reliably, you can only tie the boat off at the front, so the back's probably going to swing out a bit. Great for people, not so useful for cars. And that's where the Turntable comes in. The turntability is a remarkable piece of Victorian engineering. It was based on the old railway turntables system. Usually, it's two, but one person can turn it. A lot of oil and grease is expended in keeping it as smooth as we can. Very, very rare indeed that we can't work it."
17,The long-forgotten history of the British moon spacesuit,"In the 1940s, 15 years before Kennedy said that America ""chose to go to the moon"", the British Interplanetary Society did have similar plans. One of their number, illustrator Ralph Smith, drew up plans for a spacesuit. It looks wonderful, but no one ever built it... until a few years ago. So, I get a call, and where do you start? You've got two drawings basically. Rather than just say, ""Well, I'll make a replica, a facsimile of it,"" I thought ""Let's look at the materials that were available at the time."" Cotton and rubber, much like a modern space suit is made out of beta fabric and a rubber pressure layer inside. And the pressure's inside it. It can't expand out any further. And that means there's no physical transfer of heat from the suit out into the vacuum of space. You have to have an airlock on the front of his chest, he's got this rather strange device on the surface of the moon. And it gives you a walking stick-cum-seat on the lunar surface. But you also notice there is a shooting stick on the part of the seat of the suit that you open the airlock and shoot down the rock."
18,I promise this story about microwaves is interesting.,"A well-known story about the engineer who ""invented the microwave"" is wrong. The first microwave as we'd know it today, a cheap box that you plug in, was from the late 1960s. At no point in that well-referenced story does anyone mention heating hamsters in laboratories in the 1950s. Those papers were written by scientists at the National Institute for Medical Research. They used ice and a glycol bath of glycol, which is a propylene glycol de-icer, held at 1°C. At that point, the animal is dead and will not recover on its own. No breathing rate, no breathing core, no heart rate. No heart and no breathing rate. The technical term is ""diathermic heating"" The first commercial microwave, called the Radarange, was the size of a fridge. It had to be actively cooled. It was incredibly expensive and it was designed for big commercial kitchens. But inside here is... Inside here in the bit you can't access, there's a microwave generator called a magnetron. It moves electric current past a big magnet with a hole in it. And because... physics, that produces electromagnetic radiation. The best analogy I've found is that it's like blowing air over glass bottles and changing the pitch by changing the amount of water inside."
19,Why Hollywood explosions don't look like real explosions,"The film industry has a lot of tricks to make the explosions in movies look like the audience expects them to, all fire and flame and devastation. For a Hollywood effect, we don't actually use the Semtex because it's designed to do damage for its military purpose. We want something that looks nice but does the minimum amount of damage possible. The explosive charge is just there to propel the fuel out, vaporise it, make a big cloud of it, which can then be ignited. So the visual effect is from the cloud of fuel igniting. And the explosive is just used to create that cloud. With all the explosives in place, the second trick is how you film it. By moving the camera back and zooming in, you make it look like your actor is much, much closer to the explosion and it means the whole frame is filled up while everyone's still at a safe distance. Then, you shoot in slow motion. You make the explosion seem even longer by shooting from multiple angles and repeating it several times. And you tell your actor not to flinch. Also, you hope he doesn't give a cheesy grin. Like, sort of give down the camera a cold steel glare. I just had a thing on my face. Did that work? I'm looking this way at the explosion."
20,Why 18th-Century Firefighters Let Some Buildings Burn,"The Great Fire of London in 1666 lasted for four days. The idea of ""firefighters"" hadn't really been invented at that point. After the Great Fire, the job of fire protection in London was taken up by insurance companies. Building owners would pay a fee for a few years' coverage, and the insurance company would attach a metal ""fire mark"" to the front of the building. In 1866, the government finally took over and created the London Fire Engine Establishment as a public service. But that was only after another major fire. It took disaster, it took death and destruction, to move things forward to the point where you can call the fire service to save lives, not just property, and without having to worry about the bill. If firefighters standing aside while a building burns seems immoral to you... well, there are lots of places where that's still the case today. Or where firefighting companies will send a bill afterwards, assuming that an insurance company will pay it. In places where there aren't enough people, or there's not enough political will for a government-funded fire service, that may still be the only option. In London, it wasn't until 1833 that ten of those insurance companies joined their fire brigades together to create a single fire service......still private."
21,"Hill Hill Hill Hill, debunked, debunked","There is no Torpenhow Hill marked on any official map. The name's almost certainly a modern invention. It's not really ""hill hill hill"", that village, you can plausibly translate ""torpenhow"" as a small rise jutting out from a much bigger incline. The land around this point is lower, and it sits right next to Trepenna-slash-Torpenhow. In reality, there's just the village of ""Trepenna"". Tor-pen-how Hill doesn't exist. And so now, I'm going to debunk the debunk. Because if that's true, why am I out  of breath? What did I just climb? I came up here from the village, it's  a slow steady climb on a country road. The only thing stopping this  officially being ""Torpen how Hill""   is that there's not enough consensus. Sure, the village is ""T repenna"",  but this can be TorpenHow Hill, if enough people want it to be. And as I record this, if you  type ""TorPenhow Hill"" into online maps... quite a few of them point you here. Actually, just over there, I'll CG in a giant map marker just to make my point. That one is being slowly destroyed by tourism and by vandals."
22,Five Things You Can't Do On British Television,"When a medium has that much power, it gets regulated heavily. Any demonstrations of hypnosis on stage  must be licensed: and that's still true. A fine for unlicensed  stage hypnosis can be £1,000. There's a list of sporting events, defined by Parliament, that must be available on free-to-air television. Governments do not want those events of national importance to become irrelevant because they're only available to pay-for television services. You can't risk someone flipping through channels only to land on fictional news story and think there's been a disaster ahead. Command-of-the-time reporting does have a modern sense of fake news, although the fake news in the War of the Worlds does have over here as well, but fake news is over there as well. It's complicated and it's messy, and there are all sorts of rules to try and establish some sort of level playing field. But better safe than sorry, I think. I really Do Not Get It. I mean that literally, I  checked a hypnosis textbook. And there's almost two minutes of it, complete with slow-eye contact zoom! But he didn't say it was hypnosis. He never claimed to be hypnotizing people. He's just influencing with  some words and some wavy lines."
23,My unlicensed hovercraft bar is technically legal,"In England, if you want to sell alcohol to the public, you need a licence. The law about that is set down in the Licensing Act 2003. There are a lot of details in there, including some exceptions. For example, as long as you're ""on a journey"", you do not need an alcohol licence to sell on a train, a plane.....or a hovercraft. So, why does this law exist? Why is there a ridiculous exemption by local authorities in England? And while these days, there's only one hovercraft service, we used to have massive hovercraft racetracks that'd cross the Channel to France. After all this, who's gonna be ridiculous enough to sell enough alcohol from a moving hovercraft? After all these years, it doesn't need to be updated, because the law hasn't been updated. But yes, the contactless card reader really did work. And yes, that is a terrible half pint of beer. Most of the foam from it got pulled onto me. Oh, and watch the plastic glass between my knees there. Yeah, we picked that up later too.​ Note that I'm using a thimble measure for the gin there. Free pour of spirits for drinks like that isn't legal in the UK.​ You're fine if it's a complicated cocktail, but for something simple like gin and tonic, legally, you have to measure it out."
24,The tiny monorails that once carried James Bond,"The Roadmachines Mono-Rail was invented in a small town just outside London in the 1940s. It was intended for construction sites, and it was in competition with tractors and dump trucks. The track is made of prefab parts, so it could be set up just by clamping bits together like a giant toy train set. By 1966, there were 800 of these monorails in the UK. They were in use until at least the 1990s. Most were scrapped, but enthusiasts keep a few of them running: this one is at the Amberley Museum in southern England. There are also dozens in a collection at Nantmawr in north Wales, including one that's been modified to allow passenger rides. And, sure, yes, the diesel engine is quite noisy, but it's designed forConstruction sites. Oh, and yeah, it's automated. At the end of the track, there's an automatic stop built in, where it stops, and waits to be sent on its way again. It's not that monorail are inherently a bad thing. It is just that in most cases, there are better solutions. Sometimes, like here, they're the right tool for the job, much to the amusement of the passengers."
25,Would you swim in power plant wastewater?,"Iceland has a massive supply of hot water, which can be used to generate electricity. The water comes from geothermal power plants, which use it to heat up cold water. Reykjavík has an artificial hot water lagoon, but there are also hot springs elsewhere in the world. Iceland also has quite a lot of fresh air, and when it's snowing, the pavements are heated up by hot water pipes under the ground. The two end-pressure steam that comes up from the boreholes at the power plants is undrinkable. So there's one end that's loose after that, and there's a loose end after that that you can get out of the tap in your home, just like you'd get out the cold tap in a regular home. But this isn't power plant wastewater. It's wastewater from a power plant that's been boiled to spin the turbines and then cooled back down again. It doesn't actually feel warm, if it did the pipe wouldn't be doing its job, because the water only loses a couple of degrees over dozens of kilometres, but yes, hot water speeding through that. If your home is connected to that grid you don't need a water heater. So, okay, that's hot water. If you want electricity instead, you can spin a turbine using the high- pressure steam that's coming up, and generate clean power that way."
26,The Part Of Britain That Rises And Falls Twice A Day,"The Newlyn Datum is the zero point from which all heights in Britain are measured. The gravitational forces of the sun and the moon that are what's causing the ocean to move, and the tides, just happened to synchronise more or less in their timescale with the way in which the North Atlantic is able to move. On some days, Cornwall might only move up and down by three or four centimetres compared to its average position. Whereas on other days the movement might be seven or eight centimetre. The reason it doesn't start causing big things like earthquakes is because these movements add up to something appreciable and measurable by our modern, accurate techniques. But the most accurate engineering to need to worry about this problem is with GPS, the global positioning system. It's just a little bit like if you have a glass of juice, but if you swirl it around at just the right speed, you can build up quite a big slosh around the edges of the glass. If you swirl the glass at the wrong speed, as it were, for that glass, then you get a much smaller amount of motion. But what we can do is we can make huge numbers of measurements of this. And we can measure that distance very precisely indeed at something like the two or three millimetre level of precision."
27,Britain once forgot how long an inch is,"The international standard for length is the meter, and it's based on unchanging physical constants. But before metric, Britain had physical standards for the old imperial units, too, dating back centuries. The first prototype that could be called a British national standard was a brassrod that was created in 1760. In 1825, the yard, so three feet, 36 inches, was defined as being the distance between the marks on that one object, stored with the Clerk of the House of Commons, in Parliament. Nine years after that law was passed, Parliament burned down. All the standards for imperial units were also destroyed in that fire. Which meant Britain didn't have any legal standard of measurement. But that was fine! Because  the law also had a provision for what to do in that case:  you make a new Standard Yard, defined by the length of a pendulum that takes a certain amount of time to swing. But the law later put it, ""by the Researches of scientific Men  Doubts were thrown on the Accuracy"". So instead, the standard was reconstructed based on the versions that had been made over all the years, not like tape measures, or anything like that, but the things that were one step down that step down."
28,The Village That The Luftwaffe Bombed By Mistake,"In 1941, the Luftwaffe bombed Linby Docks in Nottinghamshire. But the streams that run through the village were not strategic bombing targets. The bombs missed and no one was even slightly hurt, although one farmer's field had some unexpected and rather violent ploughing done to it. It's part of the local mythos here in Linby. But there's nothing from the time that backs it up, just folklore and stories told from parent to child, from elder to youth, for maybe the last 80 years. The only people who know for sure are over 90 years old and, look, no one should bother them trying to disprove or prove one bit of local folklore. One is not a story, not at least not in 1941; it would be today. We call them urban legends or eventually just legends? Probably not. Over a long period of time, no. Does it really burn cakes? Over no matter how long of a time, it's not a matter of time. I am expected to provide evidence for claims, so rightly so. I'm only completely clear of things I have had completely clear memories of that evidence later showed me wrong. No one might not have mentioned it back then because Newspapers back then may not have been mentioned it."
29,How England's Oldest Road Was Nearly Lost Forever,"The Icknield Way is one of Britain's oldest still-surviving paths. It stretches more than 100 miles across southeast England. Landowners do not get a say in who walks along those paths and it's a criminal offence to block them. England has until January 1st, 2026 to find and log all its footpaths. But with five years to go, the Ramblers charity decided to try and solve the problem. They asked thousands of people to check one bit of the map each. They were shown that square on the current OS map and a couple of historic maps from about 120 years ago. We think we've found tens of thousands of miles of lost rights of way. The real work starts now and that's about proving that these public paths were historically right of way and can be put back on the map. They can't object on the basis of the historical evidence. They don't want that path or that path's going to be inconvenient, but really want to work with landowners. There's no point, from a walker's perspective, just going through somebody's garden if there's a path that's just a garden round the corner. It started with the first concept of owning land, which was absolutely not some universal human idea. Then, ultimately, the feudal system and the idea of all belonging to the monarch, which is a very rare point in history."
30,Why some remastered music videos look awful,"In 2019, a load of music videos that had been uploaded to YouTube in the early days of the platform were remastered. YouTube let the music labels keep the same video IDs, along with all the views and comments, so suddenly, all those old videos were in HD! And they look... well, it depends on the video. Smash Mouth's All Star looks awful. Now, there are some brilliant remasters out there. Wham!'s Last Christmas is now in 4K, and it looks spectacular. And that's because it was shot on film, full cinema quality, the sort of thing you can literally project on the side of a building and it will look great. Same with Freddie Mercury's Living On My Own, the remaster looks stunning. In fact, I think that looks better, because they haven't converted it to widescreen: they've kept it at the ""aspect ratio"" of old '80s television. And look, I can see why record companies would want an HD version of Bohemian Rhapsody. It's iconic. It has over a billion views on YouTube. But this was not shot onFilm. It was recorded on TV cameras, edited on videotape. And by the look of the effects, these effects required live feedback to the camera. There was never any high-quality film version, this was only ever in standard definition."
31,Why this British crossroads was so dangerous,"Two cyclists have died in the last ten years in near-identical crashes. Both times, a driver failed to stop and hit a cyclist who had right-of-way. This junction is at the worst possible angle. Speed bumps or a chicane on the approach would solve the problem. But it's not legal to have those unless you also have street lighting. The best solution is to stagger the crossing, to curve the two side roads so they meet the main road at right angles, force the drivers to slow down. But locals, and a budget estimated at around £100,000, would be the cheapest and easiest way to solve it. But road safety shouldn't require faith in human nature, and anyone's safety,  should be based on nature. The research for this article started with this video, so I've put a link in the description, please do go and read it. Thank you to Bez, whoever you are for this research! The video started with that article, so please go and reading it, please go to the video link and read the description. The video is based on Bez's article on why this place is such a disaster. Click here to read the article and the video. The videos are based on the articles that Bez wrote."
32,Why dark video is a terrible mess,"In most modern digital video, there is a grand total of about 16.7 million possible colours. For a modern screen, you need eight bits for each pixel, so you've got 256 shades each of red, green, and blue. But at full resolution, this video is 1,920 pixels wide, and there are only 256 shades of green. Even if I have a green gradient across the whole video, even if you use every single shade of pure green that's possible on this format, then you're still going to have a colour band every seven or eight pixels. And if everything's much darker than that.. suddenly you only might have half a dozen different shades of Green available across the entire picture. And the third reason is that raw HD video needs compression, then that will happen in a real-life scene, and the natural light and noise in the sensor will do that for you. Instead of going from one colour to another at a line, you can use dithering, which can make the other boundary appear fuzzy, so that from a distance the other colour doesn't look like that. And finally, we have colour banding. If we take a sample of the bright gradient behind me and massively increase the contrast, we can see it's there… but normally, it's invisible. And that’s because while the absolute difference between two bands is still the same, the relative difference is tiny."
33,Why you can't buy Dasani water in Britain,"Coca-Cola's Dasani bottled water was launched in the UK in 2004. It was the first and last time that you could ever buy Dasani water in Britain. The story of why it failed here is one of the greatest marketing disaster stories in history. But the story is a little more complicated than a lot of the world thought. And it starts years earlier, with an episode of 'Only Fools and Horses' In 1992, Del Boy tried to sell tap water from South London as ""Peckham Spring"" bottled water. Now, under UK law, ""mineral water"" is a protected term. Mineral water must come from a certified underground spring, it must not be chemically treated in any way, and is generally under heavy regulation. Back in 2004, the perception was that bottled water meant mineral water. Why else would you buy it? It's something you can't get at home. In fact, Coca-Cola never said they had done taste-testing and refining the mineral balance and flavour of the water, making a version of Dasani that was ideal for the British palate. There were occasional rough patches for the launch, like shopkeepers in Buxton complaining about being forced by their local water-Cola contracts to replace their local bottles of mineral water with Dasani."
34,How Neurosurgeons Navigate Inside The Brain,"The brain is packed with almost 100 billion neurons compartmentalised into complex bundles of nerves and other structures that make you who you are. Small parts of your brain are vital for allowing you to speak, move, think, learn and love. Neurosurgeons can use infrared and electromagnetic image guidance systems to show us exactly where we are in the brain during critical operations like brain tumour surgery, or inserting biopsy needles deep into the brain. The system can track instruments either optically using an infrared camera or electromagnetically. With optical tracking, this camera sends out and then detects infrared light that's reflected from these silver balls. With electromagnetic tracking, the emitter emits a low energy magnetic field with unique characteristics at every point. The software then displays the instrument's position on either the CT or MRI scan of that patient. We're going to be using a pre made hole or trapdoor in the skull that's going to allow us to just access the tumour away from the skull. In real life, this is a 45 minute operation that would take about 45 minutes to an hour, having drilled through the skin and drilled off this bone and operate around this tumour. This is quite cool because it actually has fluid systems within it and you can actually see it and move it."
